"","Date","Time","Temperature","Humidity","CO_AQI","NO2_AQI","SO2_AQI"
"62","09/08/2018",04:35:15,"29.00","72.00",47.6136363636364,0.320754716981132,275.167224080268
"63","09/08/2018",04:35:20,"29.00","72.00",47.6136363636364,0.320754716981132,271.52508361204
"64","09/08/2018",04:35:25,"29.00","72.00",47.6136363636364,0.320754716981132,272.1872909699
"65","09/08/2018",04:35:29,"29.00","72.00",47.6136363636364,0.330188679245283,270.862876254181
"66","09/08/2018",04:35:34,"29.00","72.00",47.6136363636364,0.330188679245283,272.1872909699
"67","09/08/2018",04:35:39,"29.00","72.00",47.6136363636364,0.330188679245283,271.85618729097
"68","09/08/2018",04:35:44,"29.00","72.00",47.6136363636364,0.330188679245283,271.52508361204
"69","09/08/2018",04:35:49,"29.00","72.00",47.6136363636364,0.330188679245283,271.85618729097
"70","09/08/2018",04:35:54,"29.00","72.00",47.6136363636364,0.330188679245283,271.19397993311
"71","09/08/2018",04:35:59,"29.00","72.00",45.4545454545455,0.330188679245283,273.180602006689
"72","09/08/2018",04:36:04,"29.00","72.00",45.4545454545455,0.330188679245283,269.207357859532
"73","09/08/2018",04:36:09,"29.00","72.00",45.4545454545455,0.330188679245283,270.862876254181
"74","09/08/2018",04:36:14,"29.00","72.00",45.4545454545455,0.330188679245283,271.52508361204
"75","09/08/2018",04:36:19,"29.00","72.00",45.4545454545455,0.330188679245283,271.85618729097
"76","09/08/2018",04:36:24,"29.00","72.00",45.4545454545455,0.330188679245283,271.19397993311
"77","09/08/2018",04:36:29,"29.00","72.00",45.4545454545455,0.330188679245283,270.862876254181
"78","09/08/2018",04:36:34,"29.00","72.00",45.4545454545455,0.330188679245283,271.52508361204
"79","09/08/2018",04:36:39,"29.00","72.00",45.4545454545455,0.330188679245283,271.52508361204
"80","09/08/2018",04:36:44,"29.00","72.00",45.4545454545455,0.330188679245283,273.180602006689
"81","09/08/2018",04:36:49,"29.00","72.00",45.4545454545455,0.339622641509434,271.52508361204
"82","09/08/2018",04:36:54,"29.00","72.00",45.4545454545455,0.339622641509434,271.19397993311
"83","09/08/2018",04:36:59,"29.00","72.00",45.4545454545455,0.339622641509434,271.52508361204
"84","09/08/2018",04:37:04,"29.00","72.00",45.4545454545455,0.339622641509434,271.52508361204
"85","09/08/2018",04:37:08,"29.00","72.00",45.4545454545455,0.339622641509434,269.207357859532
"86","09/08/2018",04:37:13,"29.00","72.00",45.4545454545455,0.339622641509434,272.1872909699
"87","09/08/2018",04:37:18,"29.00","72.00",45.4545454545455,0.339622641509434,276.160535117057
"88","09/08/2018",04:37:22,"29.00","73.00",45.4545454545455,0.339622641509434,272.849498327759
"89","09/08/2018",04:37:27,"29.00","72.00",45.4545454545455,0.339622641509434,280.795986622074
"90","09/08/2018",04:37:32,"29.00","72.00",43.1818181818182,0.339622641509434,278.809364548495
"91","09/08/2018",04:37:37,"29.00","73.00",43.1818181818182,0.339622641509434,270.200668896321
"92","09/08/2018",04:37:42,"29.00","73.00",43.1818181818182,0.339622641509434,269.538461538462
"93","09/08/2018",04:37:47,"29.00","73.00",43.1818181818182,0.339622641509434,271.52508361204
"94","09/08/2018",04:37:52,"29.00","73.00",43.1818181818182,0.339622641509434,270.531772575251
"95","09/08/2018",04:37:57,"29.00","72.00",43.1818181818182,0.339622641509434,268.214046822742
"96","09/08/2018",04:38:02,"29.00","72.00",43.1818181818182,0.339622641509434,269.538461538462
